COMUNE	POPOLAZIONE	SUPERFICE	DENSITA	ALTITUDINE
Chamois	95	1453	654	1816
Rhêmes-Notre-Dame	82	8684	094	1725
Ayas	1377	12942	11	1699
Valgrisenche	192	11348	169	1664
La Magdeleine	108	894	12	1644
Gressoney-La-Trinité	300	6652	451	1624
Bionaz	235	14209	165	1606
Cogne	1370	21304	643	1544
Valsavarenche	164	13821	119	1541
Valtournenche	2294	11615	20	1528
Saint-Rhémy-en-Bosses	335	6488	516	1519
Torgnon	587	4246	14	1489
La Thuile	783	12567	623	1441
Champorcher	391	6843	571	1427
Gressoney-Saint-Jean	818	6965	12	1385
Oyace	211	3056	690	1377
Saint-Oyen	194	942	21	1372
Ollomont	157	5348	294	1356
Brusson	887	5526	16	1338
Etroubles	489	3957	12	1270
Courmayeur	2779	20961	13	1224
Rhêmes-Saint-Georges	173	3634	476	1218
Saint-Nicolas	307	1546	20	1200
Allein	219	796	27	1190
Doues	506	1625	31	1176
Emarèse	227	1023	22	1170
Antey-Saint-André	573	1181	49	1074
Gaby	467	3217	15	1047
Challand-Saint-Anselme	743	2799	27	1030
Verrayes	1303	2236	58	1017
Pré-Saint-Didier	1025	3340	31	1014
La Salle	2056	8394	24	1001
Gignod	1727	2598	66	988
Valpelline	625	3145	20	960
Issime	413	3538	12	960
Morgex	2123	4363	49	923
Brissogne	954	2551	37	894
Roisan	1012	1464	69	870
Introd	657	2004	33	869
Saint-Denis	369	1139	32	820
Pontboset	180	3356	536	780
Arvier	865	3336	26	776
Avise	298	5262	566	775
Charvensod	2428	2586	94	766
Fontainemore	434	3171	14	760
Challand-Saint-Victor	557	2516	22	744
Saint-Pierre	3213	2618	123	676
Villeneuve	1275	880	145	670
Perloz	480	2327	21	661
Lillianes	456	1855	25	655
Aymavilles	2065	5324	39	640
Jovençan	736	701	105	632
Gressan	3378	2530	133	626
Saint-Marcel	1348	4238	32	625
Sarre	4878	2828	172	625
Saint-Christophe	3467	1474	235	619
AOSTA	34082	2139	1593	583
Saint-Vincent	4621	2057	225	575
Pollein	1527	1533	100	551
Châtillon	4654	3968	117	549
Fénis	1818	6812	27	541
Quart	4066	6205	66	535
Nus	2991	5736	52	529
Pontey	815	1575	52	523
Champdepraz	714	4879	15	523
Chambave	937	2154	43	480
Montjovet	1774	1876	95	406
Bard	113	303	37	400
Verrès	2642	836	316	391
Issogne	1386	2361	59	387
Hône	1143	1264	90	364
Arnad	1251	2884	43	361
Pont-Saint-Martin	3763	692	544	345
Donnas	2520	3397	74	322
